"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Calm110",1503.5760672182,98.9690721649485,"Calm1","Glutamatergic_L5 PT CTX_2231_47444",0.184249156609717
"Calm210",1375.63882229777,98.9690721649485,"Calm2","Glutamatergic_L5 PT CTX_2231_47444",0.222155198998536
"Calm310",750.152376452523,97.9381443298969,"Calm3","Glutamatergic_L5 PT CTX_2231_47444",0.0479369249873453
"Actb10",3288.94586261921,99.6862393545495,"Actb","Glutamatergic_L5 PT CTX_2231_47444",0.105023373864542
"Camkmt11",75.7126568050051,57.4324324324324,"Camkmt","Glutamatergic_L5/6 IT TPE-ENT_296_47444",0.158784325240514
"Calm111",1445.61556688147,99.6621621621622,"Calm1","Glutamatergic_L5/6 IT TPE-ENT_296_47444",-0.153046348887223
"Calm211",1328.04725109963,99.6621621621622,"Calm2","Glutamatergic_L5/6 IT TPE-ENT_296_47444",-0.160564606757423
"Calm311",742.386349434916,98.9864864864865,"Calm3","Glutamatergic_L5/6 IT TPE-ENT_296_47444",-0.0525723982713226
"Actb11",2935.29978500921,99.6621621621622,"Actb","Glutamatergic_L5/6 IT TPE-ENT_296_47444",-0.0961872216904659
"Camkmt12",72.978191497212,57.064128256513,"Camkmt","Glutamatergic_L5/6 NP CTX_1996_47444",0.0485336782889042
"Calm112",1472.57824448634,99.0981963927856,"Calm1","Glutamatergic_L5/6 NP CTX_1996_47444",0.00386033617329644
"Calm212",1390.79842029399,99.498997995992,"Calm2","Glutamatergic_L5/6 NP CTX_1996_47444",0.344064987946207
"Calm312",738.783763278121,98.6472945891784,"Calm3","Glutamatergic_L5/6 NP CTX_1996_47444",-0.0991977185000064
"Actb12",2656.45429462106,99.1983967935872,"Actb","Glutamatergic_L5/6 NP CTX_1996_47444",-0.254839249073343
"Camkmt13",69.1249052165707,57.1584019897404,"Camkmt","Glutamatergic_L6 CT CTX_12866_47444",-0.106826605171163
"Calm113",1492.76955458972,99.2693921964869,"Calm1","Glutamatergic_L6 CT CTX_12866_47444",0.12136170535402
"Calm213",1426.65947498216,99.036219493238,"Calm2","Glutamatergic_L6 CT CTX_12866_47444",0.632450841552925
"Calm313",747.153434707954,98.5387843929737,"Calm3","Glutamatergic_L6 CT CTX_12866_47444",0.00912407968620289
"Actb13",3003.48294347672,99.6968754857765,"Actb","Glutamatergic_L6 CT CTX_12866_47444",-0.0573937080884361
"Camkmt14",66.2877573787263,57.9806529625151,"Camkmt","Glutamatergic_L6 IT CTX_6616_47444",-0.221217299296353
"Calm114",1540.89806369854,99.1082224909311,"Calm1","Glutamatergic_L6 IT CTX_6616_47444",0.401440892289265
"Calm214",1460.04807539637,98.851269649335,"Calm2","Glutamatergic_L6 IT CTX_6616_47444",0.900953821036153
"Calm314",802.834238488126,98.5187424425635,"Calm3","Glutamatergic_L6 IT CTX_6616_47444",0.729755091367658
"Actb14",1694.38511371455,99.3802902055623,"Actb","Glutamatergic_L6 IT CTX_6616_47444",-0.802218465502249
"Camkmt15",69.0793460250733,58.0496780128795,"Camkmt","Glutamatergic_L6b CTX_1087_47444",-0.108663501884704
"Calm115",1462.89148541095,99.7240110395584,"Calm1","Glutamatergic_L6b CTX_1087_47444",-0.0525108179744171
"Calm215",1363.78679561098,99.0800367985281,"Calm2","Glutamatergic_L6b CTX_1087_47444",0.126844091649365
"Calm315",791.778938108915,99.0800367985281,"Calm3","Glutamatergic_L6b CTX_1087_47444",0.586675398621729
"Actb15",1785.48222151713,99.6320147194112,"Actb","Glutamatergic_L6b CTX_1087_47444",-0.750387823301519
"Camkmt16",83.284929841734,63.1320224719101,"Camkmt","GABAergic_Lamp5_1424_47444",0.464090082389563
"Calm116",1514.23256355319,98.876404494382,"Calm1","GABAergic_Lamp5_1424_47444",0.246263602607451
"Calm216",1284.28599679959,98.4550561797753,"Calm2","GABAergic_Lamp5_1424_47444",-0.512481938413008
"Calm316",744.053261094775,97.6123595505618,"Calm3","GABAergic_Lamp5_1424_47444",-0.0309989267285984
"Actb16",2802.14787140776,99.2275280898876,"Actb","GABAergic_Lamp5_1424_47444",-0.171945380853717
"Camkmt17",101.224597780547,75,"Camkmt","Non-Neuronal_Micro-PVM_36_47444",1.1873978496208
"Calm117",1551.61320833872,100,"Calm1","Non-Neuronal_Micro-PVM_36_47444",0.463796636406088
"Calm217",1378.42171581576,100,"Calm2","Non-Neuronal_Micro-PVM_36_47444",0.244534549791822
"Calm317",728.603319196817,97.2222222222222,"Calm3","Non-Neuronal_Micro-PVM_36_47444",-0.23095486314612
"Actb17",2220.15190134772,100,"Actb","Non-Neuronal_Micro-PVM_36_47444",-0.503078010792107
"Camkmt18",0,0,"Camkmt","Glutamatergic_NP SUB_2_47444",-2
"Calm118",898.832117106229,100,"Calm1","Glutamatergic_NP SUB_2_47444",-2
"Calm218",966.067590433073,100,"Calm2","Glutamatergic_NP SUB_2_47444",-2
"Calm318",577.081795355907,100,"Calm3","Glutamatergic_NP SUB_2_47444",-2
"Actb18",3903.46837047345,100,"Actb","Glutamatergic_NP SUB_2_47444",0.454662314081117
"Camkmt19",79.5455338372519,61.7339312406577,"Camkmt","Non-Neuronal_Oligo_669_47444",0.313321730153585
"Calm119",1501.2704520433,99.8505231689088,"Calm1","Non-Neuronal_Oligo_669_47444",0.170831852904927
"Calm219",1309.14532978944,99.4020926756353,"Calm2","Non-Neuronal_Oligo_669_47444",-0.312569246867551
"Calm319",736.802217793492,98.8041853512706,"Calm3","Non-Neuronal_Oligo_669_47444",-0.124843237787377
"Actb19",2506.74322544323,100,"Actb","Non-Neuronal_Oligo_669_47444",-0.340018911163835
"Camkmt20",77.9760095260782,60.9711124769514,"Camkmt","GABAergic_Pvalb_1627_47444",0.250040228567143
"Calm120",1534.68793491986,99.6926859250154,"Calm1","GABAergic_Pvalb_1627_47444",0.365301650677542
