"","Var1","Freq"
"1","Lamp5",737
"2","Sncg",172
"3","Vip",982
"4","Sst",915
"5","Pvalb",505
"6","L2/3 IT CTX",4545
"7","L6 IT CTX",2128
"8","L4/5 IT CTX",10761
"9","L5 IT CTX",1549
"10","L5 PT CTX",311
"11","L5/6 NP CTX",730
"12","L6 CT CTX",2903
"13","L6b CTX",228
"14","L2/3 IT PPP",5
"15","Car3",182
"16","Oligo",183
"17","Astro",42
"18","Sst Chodl",37
"19","Endo",15
"20","SMC-Peri",3
"21","VLMC",3
"22","Micro-PVM",8
"23","CR",1
"24","L5/6 IT TPE-ENT",1
