"","Var1","Freq"
"1","Lamp5",5973
"2","Sncg",2279
"3","Vip",7125
"4","Sst Chodl",354
"5","Sst",6809
"6","Pvalb",4774
"7","L2/3 IT PPP",225
"8","L6 IT CTX",7093
"9","L5 IT CTX",10531
"10","L2/3 IT CTX",11844
"11","L4/5 IT CTX",33343
"12","L5 PT CTX",491
"13","L5/6 NP CTX",4078
"14","L6 CT CTX",23124
"15","L6b CTX",2520
"16","Oligo",509
"17","Astro",438
"18","SMC-Peri",26
"19","VLMC",8
"20","Micro-PVM",111
"21","Endo",105
"22","Car3",616
"23","L5/6 IT TPE-ENT",1
"24","CR",11
