"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Camkmt10",65.8049078047902,42.3287671232877,"Camkmt","Glutamatergic_L5/6 NP CTX_730_26946",0.106966179532037
"Calm110",1474.67353377662,99.1780821917808,"Calm1","Glutamatergic_L5/6 NP CTX_730_26946",0.0623654053838887
"Calm210",1993.23911910047,99.3150684931507,"Calm2","Glutamatergic_L5/6 NP CTX_730_26946",0.733430597036348
"Calm310",861.354010137511,99.4520547945205,"Calm3","Glutamatergic_L5/6 NP CTX_730_26946",0.447857901620511
"Actb10",1635.75366007833,98.2191780821918,"Actb","Glutamatergic_L5/6 NP CTX_730_26946",-0.0015041837941955
"Camkmt11",69.2920564575568,42.7488804684809,"Camkmt","Glutamatergic_L6 CT CTX_2903_26946",0.270522148095968
"Calm111",1492.70307161548,99.5866345160179,"Calm1","Glutamatergic_L6 CT CTX_2903_26946",0.145727446569465
"Calm211",2005.88089069724,99.7588701343438,"Calm2","Glutamatergic_L6 CT CTX_2903_26946",0.788027441408039
"Calm311",875.978001161192,98.7943506717189,"Calm3","Glutamatergic_L6 CT CTX_2903_26946",0.581136840128872
"Actb11",1514.83641400019,98.2431966930761,"Actb","Glutamatergic_L6 CT CTX_2903_26946",-0.0850593725933765
"Camkmt12",57.8895458305028,40.7424812030075,"Camkmt","Glutamatergic_L6 IT CTX_2128_26946",-0.264284037521827
"Calm112",1584.09874108627,99.6240601503759,"Calm1","Glutamatergic_L6 IT CTX_2128_26946",0.568307860482358
"Calm212",1921.36060891759,99.718045112782,"Calm2","Glutamatergic_L6 IT CTX_2128_26946",0.423004182187515
"Calm312",847.312473531594,99.0131578947368,"Calm3","Glutamatergic_L6 IT CTX_2128_26946",0.319887288753438
"Actb12",1188.98199267116,98.2612781954887,"Actb","Glutamatergic_L6 IT CTX_2128_26946",-0.310228474423569
"Camkmt13",61.0675150620892,41.6666666666667,"Camkmt","Glutamatergic_L6b CTX_228_26946",-0.11522935488703
"Calm113",1542.37781122918,99.5614035087719,"Calm1","Glutamatergic_L6b CTX_228_26946",0.375405418715429
"Calm213",1807.46783133101,97.8070175438597,"Calm2","Glutamatergic_L6b CTX_228_26946",-0.068871992394072
"Calm313",816.485066519478,96.9298245614035,"Calm3","Glutamatergic_L6b CTX_228_26946",0.0389349771110954
"Actb13",1205.26772135545,99.1228070175439,"Actb","Glutamatergic_L6b CTX_228_26946",-0.298974851147458
"Camkmt14",50.1110564673178,35.685210312076,"Camkmt","GABAergic_Lamp5_737_26946",-0.629114587762532
"Calm114",1587.38042909192,99.8643147896879,"Calm1","GABAergic_Lamp5_737_26946",0.583481195103065
"Calm214",1928.59096167737,99.7286295793758,"Calm2","GABAergic_Lamp5_737_26946",0.454230378718287
"Calm314",868.389311428092,99.0502035278155,"Calm3","GABAergic_Lamp5_737_26946",0.511975657613166
"Actb14",924.695735005151,97.2862957937585,"Actb","GABAergic_Lamp5_737_26946",-0.492853276695716
"Camkmt15",50.0608144492667,37.5,"Camkmt","Non-Neuronal_Micro-PVM_8_26946",-0.631471063709849
"Calm115",1332.431249898,100,"Calm1","Non-Neuronal_Micro-PVM_8_26946",-0.595311304523615
"Calm215",1799.75936421937,100,"Calm2","Non-Neuronal_Micro-PVM_8_26946",-0.102163052592162
"Calm315",924.63298004393,100,"Calm3","Non-Neuronal_Micro-PVM_8_26946",1.02456462452352
"Actb15",389.074077708572,100,"Actb","Non-Neuronal_Micro-PVM_8_26946",-0.862973918307296
"Camkmt16",69.1659393048314,46.9945355191257,"Camkmt","Non-Neuronal_Oligo_183_26946",0.264606939104188
"Calm116",1617.07838976274,99.4535519125683,"Calm1","Non-Neuronal_Oligo_183_26946",0.72079378972938
"Calm216",1902.30748580979,99.4535519125683,"Calm2","Non-Neuronal_Oligo_183_26946",0.340718215450306
"Calm316",816.470197630743,99.4535519125683,"Calm3","Non-Neuronal_Oligo_183_26946",0.0387994662437705
"Actb16",1284.01767368066,99.4535519125683,"Actb","Non-Neuronal_Oligo_183_26946",-0.244557740703123
"Camkmt17",63.765582980334,43.5643564356436,"Camkmt","GABAergic_Pvalb_505_26946",0.0113167593056339
"Calm117",1599.37298867545,99.2079207920792,"Calm1","GABAergic_Pvalb_505_26946",0.638930439274324
"Calm217",1948.59436668977,99.6039603960396,"Calm2","GABAergic_Pvalb_505_26946",0.540620389960464
"Calm317",853.980653382425,99.009900990099,"Calm3","GABAergic_Pvalb_505_26946",0.380659203264498
"Actb17",1002.56253366826,97.6237623762376,"Actb","GABAergic_Pvalb_505_26946",-0.43904643545092
"Camkmt18",39.0594484805875,33.3333333333333,"Camkmt","Non-Neuronal_SMC-Peri_3_26946",-1.14746256441805
"Calm118",1793.7480136545,100,"Calm1","Non-Neuronal_SMC-Peri_3_26946",1.53765002834888
"Calm218",1556.37156378016,100,"Calm2","Non-Neuronal_SMC-Peri_3_26946",-1.15329783705077
"Calm318",1007.29114383543,100,"Calm3","Non-Neuronal_SMC-Peri_3_26946",1.77788786654017
"Actb18",422.586976522085,100,"Actb","Non-Neuronal_SMC-Peri_3_26946",-0.839816125036339
"Camkmt19",56.417426162346,36.6279069767442,"Camkmt","GABAergic_Sncg_172_26946",-0.333330121340588
"Calm119",1583.48424880028,100,"Calm1","GABAergic_Sncg_172_26946",0.565466671112414
"Calm219",1938.80027888814,100,"Calm2","GABAergic_Sncg_172_26946",0.498322023519102
"Calm319",883.32555981609,100,"Calm3","GABAergic_Sncg_172_26946",0.648100421860215
"Actb19",811.012832168755,96.5116279069768,"Actb","GABAergic_Sncg_172_26946",-0.571409452244039
"Camkmt20",59.912162401537,37.3770491803279,"Camkmt","GABAergic_Sst_915_26946",-0.169418276050346
"Calm120",1608.10609115047,99.5628415300546,"Calm1","GABAergic_Sst_915_26946",0.679309136427119
"Calm220",1932.64192436834,99.5628415300546,"Calm2","GABAergic_Sst_915_26946",0.471725535777679
"Calm320",860.624358723927,99.1256830601093,"Calm3","GABAergic_Sst_915_26946",0.441208063985482
"Actb20",1318.51085211926,97.5956284153006,"Actb","GABAergic_Sst_915_26946",-0.220722563090337
"Camkmt21",73.7279746583783,43.2432432432432,"Camkmt","GABAergic_Sst Chodl_37_26946",0.478577774640633
"Calm121",1691.57238467977,100,"Calm1","GABAergic_Sst Chodl_37_26946",1.06522699305667
"Calm221",1895.97977376635,100,"Calm2","GABAergic_Sst Chodl_37_26946",0.313390312314279
"Calm321",944.829072872705,100,"Calm3","GABAergic_Sst Chodl_37_26946",1.20862613070721
"Actb21",1356.59886739203,97.2972972972973,"Actb","GABAergic_Sst Chodl_37_26946",-0.194403312443115
"Camkmt22",59.7376111867409,40.8350305498982,"Camkmt","GABAergic_Vip_982_26946",-0.177605163345025
"Calm122",1598.49641270528,99.79633401222,"Calm1","GABAergic_Vip_982_26946",0.634877470042349
"Calm222",1930.94627192664,100,"Calm2","GABAergic_Vip_982_26946",0.464402410869169
"Calm322",832.923590968874,99.4908350305499,"Calm3","GABAergic_Vip_982_26946",0.188751062590876
"Actb22",1097.70719649658,97.7596741344196,"Actb","GABAergic_Vip_982_26946",-0.373300394057312
"Camkmt23",81.9134498077654,66.6666666666667,"Camkmt","Non-Neuronal_VLMC_3_26946",0.862496973253476
"Calm123",1132.48788720301,100,"Calm1","Non-Neuronal_VLMC_3_26946",-1.51977686679837
"Calm223",1897.32034340683,100,"Calm2","Non-Neuronal_VLMC_3_26946",0.319179917945912
"Calm323",713.905908821352,100,"Calm3","Non-Neuronal_VLMC_3_26946",-0.895942596934825
"Actb23",1309.60823822881,100,"Actb","Non-Neuronal_VLMC_3_26946",-0.226874370285333
