"","Var1","Freq"
"1","Lamp5",913
"2","Sncg",178
"3","Vip",777
"4","Sst Chodl",91
"5","Sst",759
"6","Pvalb",176
"7","L2/3 IT CTX",5856
"8","L5 IT CTX",2869
"9","L6 IT CTX",2984
"10","L4/5 IT CTX",18413
"11","L5 PT CTX",203
"12","L5/6 NP CTX",1148
"13","L6 CT CTX",6498
"14","L6b CTX",801
"15","Car3",196
"16","Oligo",679
"17","Astro",346
"18","SMC-Peri",28
"19","Endo",96
"20","Micro-PVM",49
"21","L2/3 IT PPP",1
"22","CR",1
"23","VLMC",9
