"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Actb9",1937.95938039243,98.8675958188153,"Actb","Glutamatergic_L5/6 NP CTX_1148_43071",0.820078453624676
"Camkmt10",62.4643985978259,42.2899353647276,"Camkmt","Glutamatergic_L6 CT CTX_6498_43071",-0.358485555336429
"Calm110",1528.92762554643,98.7072945521699,"Calm1","Glutamatergic_L6 CT CTX_6498_43071",0.0846911244522179
"Calm210",1965.05520165329,98.8919667590028,"Calm2","Glutamatergic_L6 CT CTX_6498_43071",-0.0223187625654606
"Calm310",850.752777940141,97.8301015697138,"Calm3","Glutamatergic_L6 CT CTX_6498_43071",0.0911992525164066
"Actb10",1716.99184749999,98.3379501385042,"Actb","Glutamatergic_L6 CT CTX_6498_43071",0.287983576192337
"Camkmt11",68.192767663243,42.1581769436997,"Camkmt","Glutamatergic_L6 IT CTX_2984_43071",-0.205212558299042
"Calm111",1537.817519374,98.6930294906166,"Calm1","Glutamatergic_L6 IT CTX_2984_43071",0.148875570233652
"Calm211",1982.64351182111,98.8270777479893,"Calm2","Glutamatergic_L6 IT CTX_2984_43071",0.0194009433917842
"Calm311",862.954790519678,97.7882037533512,"Calm3","Glutamatergic_L6 IT CTX_2984_43071",0.26382099052185
"Actb11",1554.27164469149,98.0563002680965,"Actb","Glutamatergic_L6 IT CTX_2984_43071",-0.103850397042548
"Camkmt12",66.3766270823672,38.5767790262172,"Camkmt","Glutamatergic_L6b CTX_801_43071",-0.253806723006861
"Calm112",1567.82978034688,99.1260923845194,"Calm1","Glutamatergic_L6b CTX_801_43071",0.365562110540731
"Calm212",1992.6171075163,99.250936329588,"Calm2","Glutamatergic_L6b CTX_801_43071",0.043058445208027
"Calm312",881.98233140864,98.876404494382,"Calm3","Glutamatergic_L6b CTX_801_43071",0.533003402588064
"Actb12",1700.2125754465,97.5031210986267,"Actb","Glutamatergic_L6b CTX_801_43071",0.247578704988693
