"","Var1","Freq"
"1","Lamp5",2163
"2","Sncg",473
"3","Vip",2026
"4","Sst Chodl",55
"5","Sst",1299
"6","Pvalb",162
"7","L2/3 IT PPP",42
"8","L4/5 IT CTX",11228
"9","L2/3 IT CTX",6274
"10","L6 IT CTX",1363
"11","L5 IT CTX",1884
"12","L5 PT CTX",62
"13","L5/6 NP CTX",1957
"14","L6 CT CTX",4509
"15","L6b CTX",181
"16","Car3",9
"17","Oligo",273
"18","Astro",18
"19","SMC-Peri",1
